C005,Rohit Sisodiya,"ML,DL,SQL",#VALUE!,#VALUE!,1,4,7,,,,,
C006,Rajesh Kumar,"PYTHON,ML,DL",1,#VALUE!,8,11,#VALUE!,,,,,
C007,Rakesh Yadav,"PYTHON,EXCEL,SQL",1,8,#VALUE!,#VALUE!,14,,,,,
C008,Sunita Williams,"ML,DL,SQL",#VALUE!,#VALUE!,1,4,7,,,,,
C009,Siri,"PYTHON,EXCEL,SQL",1,8,#VALUE!,#VALUE!,14,,,,,
C010,Alexa,"ML,DL,SQL",#VALUE!,#VALUE!,1,4,7,,,,,
,,,,,,,,,,,,
"TEXT FORMATING:- lower(),upper(),proper()",,,,,,,,,,,,
,,,,,,,,,,,,
Name,lower,upper,proper,,,,,,,,,
gaurav yeskar,gaurav yeskar,GAURAV YESKAR,Gaurav Yeskar,,,,,,,,,
sunita yadu,sunita yadu,SUNITA YADU,Sunita Yadu,,,,,,,,,
priyanshi,priyanshi,PRIYANSHI,Priyanshi,,,,,,,,,
Prashant Tripathi,prashant tripathi,PRASHANT TRIPATHI,Prashant Tripathi,,,,,,,,,
Rohit Sisodiya,rohit sisodiya,ROHIT SISODIYA,Rohit Sisodiya,,,,,,,,,
Rajesh Kumar,rajesh kumar,RAJESH KUMAR,Rajesh Kumar,,,,,,,,,
Rakesh Yadav,rakesh yadav,RAKESH YADAV,Rakesh Yadav,,,,,,,,,
Sunita Williams,sunita williams,SUNITA WILLIAMS,Sunita Williams,,,,,,,,,
Siri,siri,SIRI,Siri,,,,,,,,,
Alexa,alexa,ALEXA,Alexa,,,,,,,,,
,,,,,,,,,,,,
replace() & substitute(),,,,,,,,,,,,
,,,,,,,,,,,,
name,email_id,substitute,replace,,,,,,,,,
gaurav yeskar,gaur@gmail.com,gaur@gmail.org,gaur@xyzcom,,,,,,,,,
sunita yadu,yadusun@gmail.com,yadusun@gmail.org,yadusxyzil.com,,,,,,,,,
priyanshi,riya@gmail.com,riya@gmail.org,riya@xyzcom,,,,,,,,,
Prashant Tripathi,tripathi@gmail.com,tripathi@gmail.org,tripaxyzail.com,,,,,,,,,
Rohit Sisodiya,rohi3@gmail.com,rohi3@gmail.org,rohi3xyz.com,,,,,,,,,
Rajesh Kumar,raje@gmail.com,raje@gmail.org,raje@xyzcom,,,,,,,,,
Rakesh Yadav,rakes@gmail.com,rakes@gmail.org,rakesxyz.com,,,,,,,,,
Sunita Williams,sunita@gmail.com,sunita@gmail.org,sunitxyzl.com,,,,,,,,,
Siri,siri@gmail.com,siri@gmail.org,siri@xyzcom,,,,,,,,,
Alexa,alex@gmail.com,alex@gmail.org,alex@xyzcom,,,,,,,,,
,,,,,,,,,,,,
text() and value(),,,,,,,,,,,,
,,,,,,,,,,,,
03-11-2025,,,,,,,,,,,,
This is the date: 03-Nov-2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,,,,,,,,,,,
